state,state_name,year,grade,subject,state_below_basic_pct,state_basic_pct,state_proficient_pct,state_advanced_pct,state_below_proficient_pct,national_public_below_basic_pct,national_public_basic_pct,national_public_proficient_pct,national_public_advanced_pct,national_public_below_proficient_pct,below_basic_difference_from_national_percentage_points,source_page_url
OR,Oregon,2024,4,Reading,48.26,25.14,19.45,7.15,73.39,40.67,28.83,22.23,8.27,69.5,7.59,https://www.nationsreportcard.gov/profiles/
PA,Pennsylvania,2024,4,Reading,37.8,29.26,24.8,8.14,67.05,40.67,28.83,22.23,8.27,69.5,-2.87,https://www.nationsreportcard.gov/profiles/
RI,Rhode Island,2024,4,Reading,39.3,28.14,22.74,9.82,67.44,40.67,28.83,22.23,8.27,69.5,-1.37,https://www.nationsreportcard.gov/profiles/
SC,South Carolina,2024,4,Reading,40.33,27.2,23.28,9.2,67.53,40.67,28.83,22.23,8.27,69.5,-0.34,https://www.nationsreportcard.gov/profiles/
SD,South Dakota,2024,4,Reading,39.87,32.15,22.06,5.92,72.02,40.67,28.83,22.23,8.27,69.5,-0.8,https://www.nationsreportcard.gov/profiles/
TN,Tennessee,2024,4,Reading,38.89,29.32,23.02,8.77,68.22,40.67,28.83,22.23,8.27,69.5,-1.78,https://www.nationsreportcard.gov/profiles/
TX,Texas,2024,4,Reading,42.89,29.57,20.97,6.57,72.46,40.67,28.83,22.23,8.27,69.5,2.22,https://www.nationsreportcard.gov/profiles/
UT,Utah,2024,4,Reading,35.55,28.13,26.33,9.99,63.68,40.67,28.83,22.23,8.27,69.5,-5.12,https://www.nationsreportcard.gov/profiles/
VT,Vermont,2024,4,Reading,41.84,27.65,22.71,7.8,69.5,40.67,28.83,22.23,8.27,69.5,1.17,https://www.nationsreportcard.gov/profiles/
VA,Virginia,2024,4,Reading,41.53,27.75,21.96,8.77,69.28,40.67,28.83,22.23,8.27,69.5,0.86,https://www.nationsreportcard.gov/profiles/
WA,Washington,2024,4,Reading,39.5,28.49,22.81,9.21,67.99,40.67,28.83,22.23,8.27,69.5,-1.17,https://www.nationsreportcard.gov/profiles/
WV,West Virginia,2024,4,Reading,47.36,28.02,19.72,4.91,75.37,40.67,28.83,22.23,8.27,69.5,6.69,https://www.nationsreportcard.gov/profiles/
WI,Wisconsin,2024,4,Reading,38.84,29.84,23.38,7.93,68.69,40.67,28.83,22.23,8.27,69.5,-1.83,https://www.nationsreportcard.gov/profiles/
WY,Wyoming,2024,4,Reading,32.23,31.92,27.01,8.84,64.15,40.67,28.83,22.23,8.27,69.5,-8.44,https://www.nationsreportcard.gov/profiles/
