district_name,district_code,school_year,grade_3_percent_met_or_exceeded_district,grade_3_participation_rate_district
Cheraw 31,2560,2024-2025,,76.5
Swink 33,2570,2024-2025,56.5,100.0
Ouray R-1,2580,2024-2025,45.0,100.0
Ridgway R-2,2590,2024-2025,73.7,100.0
Platte Canyon 1,2600,2024-2025,56.0,94.3
Park County RE-2,2610,2024-2025,36.1,97.3
Holyoke Re-1J,2620,2024-2025,22.7,95.7
Haxtun RE-2J,2630,2024-2025,42.9,100.0
Aspen 1,2640,2024-2025,56.5,95.8
Granada RE-1,2650,2024-2025,17.4,92.0
Lamar Re-2,2660,2024-2025,28.3,97.4
Holly RE-3,2670,2024-2025,58.8,100.0
Wiley RE-13 Jt,2680,2024-2025,63.6,95.7
Pueblo City 60,2690,2024-2025,24.4,93.0
Pueblo County 70,2700,2024-2025,44.0,97.4
Meeker RE-1,2710,2024-2025,65.0,97.6
Rangely RE-4,2720,2024-2025,46.9,100.0
Upper Rio Grande School District C-7,2730,2024-2025,25.0,96.0
Monte Vista C-8,2740,2024-2025,33.3,90.6
Sargent RE-33J,2750,2024-2025,52.6,90.5
Hayden RE-1,2760,2024-2025,36.8,97.4
Steamboat Springs RE-2,2770,2024-2025,51.2,97.2
South Routt RE 3,2780,2024-2025,,96.0
Mountain Valley RE 1,2790,2024-2025,,87.5
Moffat 2,2800,2024-2025,,100.0
Center 26 JT,2810,2024-2025,27.0,100.0
Silverton 1,2820,2024-2025,,60.0
Telluride R-1,2830,2024-2025,66.0,98.1
Norwood R-2J,2840,2024-2025,52.9,94.4
Julesburg Re-1,2862,2024-2025,,0.0
Revere School District,2865,2024-2025,,0.0
Summit RE-1,3000,2024-2025,45.8,96.7
Cripple Creek-Victor RE-1,3010,2024-2025,,100.0
Woodland Park Re-2,3020,2024-2025,38.5,97.7
Akron R-1,3030,2024-2025,,12.9
Arickaree R-2,3040,2024-2025,,100.0
Otis R-3,3050,2024-2025,,100.0
Lone Star 101,3060,2024-2025,,0.0
Woodlin R-104,3070,2024-2025,,
Weld County RE-1,3080,2024-2025,23.4,97.9
Eaton RE-2,3085,2024-2025,53.5,94.1
Weld County School District RE-3J,3090,2024-2025,34.0,98.5
Weld RE-4,3100,2024-2025,49.6,96.0
Johnstown-Milliken RE-5J,3110,2024-2025,29.9,98.3
Greeley 6,3120,2024-2025,24.0,97.8
Platte Valley RE-7,3130,2024-2025,48.0,99.0
Weld Re-8 Schools,3140,2024-2025,22.1,95.1
Ault-Highland RE-9,3145,2024-2025,29.1,64.7
Briggsdale RE-10,3146,2024-2025,,12.5
Prairie RE-11,3147,2024-2025,,100.0
Pawnee RE-12,3148,2024-2025,,100.0
Yuma 1,3200,2024-2025,21.8,98.2
Wray RD-2,3210,2024-2025,47.3,100.0
Idalia RJ-3,3220,2024-2025,,90.9
Liberty J-4,3230,2024-2025,,100.0
Charter School Institute,8001,2024-2025,35.4,96.6
Colorado School for the Deaf and Blind,9000,2024-2025,,80.0
Centennial BOCES,9035,2024-2025,,
Expeditionary BOCES,9130,2024-2025,30.0,80.0
Education reEnvisioned BOCES,9170,2024-2025,25.5,21.2
