state,state_code,year,school_year,grade,subject,source,assessment,metric,value,metric_family,comparison_role,jurisdiction_of_measure,jurisdiction_of_measure_name,source_value_kind,benchmark_label,source_url,source_page_url,notes,detail_order,source_order,metric_order
Alaska,AK,2024,2024,4,Reading,NAEP (State),NAEP,Percent Below Basic,52.57,naep_below_basic,naep_state,AK,Alaska,official_cumulative_achievement_level,State NAEP,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=RED&cohort=1&subscale=RRPCM&variable=TOTAL&jurisdiction=AL%2CAK%2CAZ%2CAR%2CCA%2CCO%2CCT%2CDE%2CDC%2CFL%2CGA%2CHI%2CID%2CIL%2CIN%2CIA%2CKS%2CKY%2CLA%2CME%2CMD%2CMA%2CMI%2CMN%2CMS%2CMO%2CMT%2CNE%2CNV%2CNH%2CNJ%2CNM%2CNY%2CNC%2CND%2COH%2COK%2COR%2CPA%2CRI%2CSC%2CSD%2CTN%2CTX%2CUT%2CVT%2CVA%2CWA%2CWV%2CWI%2CWY%2CNP&stattype=ALC%3ABB%2CALD%3ABA%2CALD%3APR%2CALD%3AAD&Year=2024R3,https://www.nationsreportcard.gov/profiles/,Official 2024 NAEP Grade 4 Reading achievement-level percentage for public-school students.,1,2,1
Alaska,AK,2024,2024,4,Reading,NAEP (State),NAEP,Percent Below Proficient,78.27,naep_below_proficient,naep_state,AK,Alaska,derived_from_below_basic_plus_basic,State NAEP,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=RED&cohort=1&subscale=RRPCM&variable=TOTAL&jurisdiction=AL%2CAK%2CAZ%2CAR%2CCA%2CCO%2CCT%2CDE%2CDC%2CFL%2CGA%2CHI%2CID%2CIL%2CIN%2CIA%2CKS%2CKY%2CLA%2CME%2CMD%2CMA%2CMI%2CMN%2CMS%2CMO%2CMT%2CNE%2CNV%2CNH%2CNJ%2CNM%2CNY%2CNC%2CND%2COH%2COK%2COR%2CPA%2CRI%2CSC%2CSD%2CTN%2CTX%2CUT%2CVT%2CVA%2CWA%2CWV%2CWI%2CWY%2CNP&stattype=ALC%3ABB%2CALD%3ABA%2CALD%3APR%2CALD%3AAD&Year=2024R3,https://www.nationsreportcard.gov/profiles/,Calculated as the official NAEP Below Basic percentage plus the official discrete Basic percentage.,0,2,2
Alaska,AK,2024,2024,4,Reading,NAEP (State),NAEP,Percent Basic,25.7,naep_achievement_level,naep_state,AK,Alaska,official_discrete_achievement_level,State NAEP,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=RED&cohort=1&subscale=RRPCM&variable=TOTAL&jurisdiction=AL%2CAK%2CAZ%2CAR%2CCA%2CCO%2CCT%2CDE%2CDC%2CFL%2CGA%2CHI%2CID%2CIL%2CIN%2CIA%2CKS%2CKY%2CLA%2CME%2CMD%2CMA%2CMI%2CMN%2CMS%2CMO%2CMT%2CNE%2CNV%2CNH%2CNJ%2CNM%2CNY%2CNC%2CND%2COH%2COK%2COR%2CPA%2CRI%2CSC%2CSD%2CTN%2CTX%2CUT%2CVT%2CVA%2CWA%2CWV%2CWI%2CWY%2CNP&stattype=ALC%3ABB%2CALD%3ABA%2CALD%3APR%2CALD%3AAD&Year=2024R3,https://www.nationsreportcard.gov/profiles/,Official 2024 NAEP Grade 4 Reading achievement-level percentage for public-school students.,2,2,3
Alaska,AK,2024,2024,4,Reading,NAEP (State),NAEP,Percent Proficient,16.88,naep_achievement_level,naep_state,AK,Alaska,official_discrete_achievement_level,State NAEP,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=RED&cohort=1&subscale=RRPCM&variable=TOTAL&jurisdiction=AL%2CAK%2CAZ%2CAR%2CCA%2CCO%2CCT%2CDE%2CDC%2CFL%2CGA%2CHI%2CID%2CIL%2CIN%2CIA%2CKS%2CKY%2CLA%2CME%2CMD%2CMA%2CMI%2CMN%2CMS%2CMO%2CMT%2CNE%2CNV%2CNH%2CNJ%2CNM%2CNY%2CNC%2CND%2COH%2COK%2COR%2CPA%2CRI%2CSC%2CSD%2CTN%2CTX%2CUT%2CVT%2CVA%2CWA%2CWV%2CWI%2CWY%2CNP&stattype=ALC%3ABB%2CALD%3ABA%2CALD%3APR%2CALD%3AAD&Year=2024R3,https://www.nationsreportcard.gov/profiles/,Official 2024 NAEP Grade 4 Reading achievement-level percentage for public-school students.,3,2,3
Alaska,AK,2024,2024,4,Reading,NAEP (State),NAEP,Percent Advanced,4.85,naep_achievement_level,naep_state,AK,Alaska,official_discrete_achievement_level,State NAEP,https://www.nationsreportcard.gov/DataService/GetAdhocData.aspx?type=data&subject=RED&cohort=1&subscale=RRPCM&variable=TOTAL&jurisdiction=AL%2CAK%2CAZ%2CAR%2CCA%2CCO%2CCT%2CDE%2CDC%2CFL%2CGA%2CHI%2CID%2CIL%2CIN%2CIA%2CKS%2CKY%2CLA%2CME%2CMD%2CMA%2CMI%2CMN%2CMS%2CMO%2CMT%2CNE%2CNV%2CNH%2CNJ%2CNM%2CNY%2CNC%2CND%2COH%2COK%2COR%2CPA%2CRI%2CSC%2CSD%2CTN%2CTX%2CUT%2CVT%2CVA%2CWA%2CWV%2CWI%2CWY%2CNP&stattype=ALC%3ABB%2CALD%3ABA%2CALD%3APR%2CALD%3AAD&Year=2024R3,https://www.nationsreportcard.gov/profiles/,Official 2024 NAEP Grade 4 Reading achievement-level percentage for public-school students.,4,2,3
Alaska,AK,2025,2024-2025,3,ELA,AK STAR,AK STAR,Percent in Below-Basic Analog Tier,36.3,state_below_basic_analog,state_assessment,AK,Alaska,below_basic_analog,Needs Support,https://education.alaska.gov/akassessments/AKAssessment_Brief_2025.pdf,https://education.alaska.gov/assessment-results/Statewide/StatewideResults?isScience=False&schoolYear=2024-2025,"Alaska publishes exact statewide Grade 3 AK STAR ELA performance-level percentages in the 2025 assessment brief. The companion statewide results page reports the Grade 3 Advanced/Proficient share, enrollment, and participation rate. The published exact bins sum to 28.7 percent proficient or advanced, consistent with the results page's 28.68 percent.",0,3,4
Alaska,AK,2025,2024-2025,3,ELA,AK STAR,AK STAR,Percent Needs Support,36.3,state_exact_tier,state_assessment,AK,Alaska,reported_exact_tier,Needs Support,https://education.alaska.gov/akassessments/AKAssessment_Brief_2025.pdf,https://education.alaska.gov/assessment-results/Statewide/StatewideResults?isScience=False&schoolYear=2024-2025,"Alaska publishes exact statewide Grade 3 AK STAR ELA performance-level percentages in the 2025 assessment brief. The companion statewide results page reports the Grade 3 Advanced/Proficient share, enrollment, and participation rate.",1,3,5
Alaska,AK,2025,2024-2025,3,ELA,AK STAR,AK STAR,Percent Approaching Proficient,35.0,state_exact_tier,state_assessment,AK,Alaska,reported_exact_tier,Approaching Proficient,https://education.alaska.gov/akassessments/AKAssessment_Brief_2025.pdf,https://education.alaska.gov/assessment-results/Statewide/StatewideResults?isScience=False&schoolYear=2024-2025,"Alaska publishes exact statewide Grade 3 AK STAR ELA performance-level percentages in the 2025 assessment brief. The companion statewide results page reports the Grade 3 Advanced/Proficient share, enrollment, and participation rate.",2,3,5
Alaska,AK,2025,2024-2025,3,ELA,AK STAR,AK STAR,Percent Proficient,18.8,state_exact_tier,state_assessment,AK,Alaska,reported_exact_tier,Proficient,https://education.alaska.gov/akassessments/AKAssessment_Brief_2025.pdf,https://education.alaska.gov/assessment-results/Statewide/StatewideResults?isScience=False&schoolYear=2024-2025,"Alaska publishes exact statewide Grade 3 AK STAR ELA performance-level percentages in the 2025 assessment brief. The companion statewide results page reports the Grade 3 Advanced/Proficient share, enrollment, and participation rate.",3,3,5
Alaska,AK,2025,2024-2025,3,ELA,AK STAR,AK STAR,Percent Advanced,9.9,state_exact_tier,state_assessment,AK,Alaska,reported_exact_tier,Advanced,https://education.alaska.gov/akassessments/AKAssessment_Brief_2025.pdf,https://education.alaska.gov/assessment-results/Statewide/StatewideResults?isScience=False&schoolYear=2024-2025,"Alaska publishes exact statewide Grade 3 AK STAR ELA performance-level percentages in the 2025 assessment brief. The companion statewide results page reports the Grade 3 Advanced/Proficient share, enrollment, and participation rate.",4,3,5
