state,state_name,assessment,subject,subject_label,grade,school_year,administration_year,tier_rank,tier_id,tier_label,pct_students,is_below_basic_analog,below_basic_analog_label,source_value_kind,notes,source_url,source_page_url
AK,Alaska,AK STAR,ELA,English Language Arts,03,2024-2025,2025,2,approaching_proficient,Approaching Proficient,35.0,False,Needs Support,reported_exact_tier,"Alaska publishes exact statewide Grade 3 AK STAR ELA performance-level percentages in the 2025 assessment brief. The companion statewide results page reports the Grade 3 Advanced/Proficient share, enrollment, and participation rate.",https://education.alaska.gov/akassessments/AKAssessment_Brief_2025.pdf,https://education.alaska.gov/assessment-results/Statewide/StatewideResults?isScience=False&schoolYear=2024-2025
AK,Alaska,AK STAR,ELA,English Language Arts,03,2024-2025,2025,3,proficient,Proficient,18.8,False,Needs Support,reported_exact_tier,"Alaska publishes exact statewide Grade 3 AK STAR ELA performance-level percentages in the 2025 assessment brief. The companion statewide results page reports the Grade 3 Advanced/Proficient share, enrollment, and participation rate.",https://education.alaska.gov/akassessments/AKAssessment_Brief_2025.pdf,https://education.alaska.gov/assessment-results/Statewide/StatewideResults?isScience=False&schoolYear=2024-2025
AK,Alaska,AK STAR,ELA,English Language Arts,03,2024-2025,2025,4,advanced,Advanced,9.9,False,Needs Support,reported_exact_tier,"Alaska publishes exact statewide Grade 3 AK STAR ELA performance-level percentages in the 2025 assessment brief. The companion statewide results page reports the Grade 3 Advanced/Proficient share, enrollment, and participation rate.",https://education.alaska.gov/akassessments/AKAssessment_Brief_2025.pdf,https://education.alaska.gov/assessment-results/Statewide/StatewideResults?isScience=False&schoolYear=2024-2025
AR,Arkansas,ATLAS,ELA,English Language Arts,03,2024-2025,2025,1,level_1,Level 1,29.3,True,Level 1,reported_exact_tier,Arkansas publishes exact statewide Grade 3 ATLAS ELA performance-level percentages in the annual summary workbook.,https://dese.ade.arkansas.gov/Files/Atlas_Summary_Post-Corrections_Scores_Spring_2025_PSA.xlsx,https://dese.ade.arkansas.gov/Offices/public-school-accountability/assessment-test-scores/2025
AR,Arkansas,ATLAS,ELA,English Language Arts,03,2024-2025,2025,2,level_2,Level 2,34.8,False,Level 1,reported_exact_tier,Arkansas publishes exact statewide Grade 3 ATLAS ELA performance-level percentages in the annual summary workbook.,https://dese.ade.arkansas.gov/Files/Atlas_Summary_Post-Corrections_Scores_Spring_2025_PSA.xlsx,https://dese.ade.arkansas.gov/Offices/public-school-accountability/assessment-test-scores/2025
AR,Arkansas,ATLAS,ELA,English Language Arts,03,2024-2025,2025,3,level_3,Level 3,21.1,False,Level 1,reported_exact_tier,Arkansas publishes exact statewide Grade 3 ATLAS ELA performance-level percentages in the annual summary workbook.,https://dese.ade.arkansas.gov/Files/Atlas_Summary_Post-Corrections_Scores_Spring_2025_PSA.xlsx,https://dese.ade.arkansas.gov/Offices/public-school-accountability/assessment-test-scores/2025
AR,Arkansas,ATLAS,ELA,English Language Arts,03,2024-2025,2025,4,level_4,Level 4,14.8,False,Level 1,reported_exact_tier,Arkansas publishes exact statewide Grade 3 ATLAS ELA performance-level percentages in the annual summary workbook.,https://dese.ade.arkansas.gov/Files/Atlas_Summary_Post-Corrections_Scores_Spring_2025_PSA.xlsx,https://dese.ade.arkansas.gov/Offices/public-school-accountability/assessment-test-scores/2025
CO,Colorado,CMAS,ELA,English Language Arts,03,2024-2025,2025,1,did_not_yet_meet_expectations,Did Not Yet Meet Expectations,22.4,True,Did Not Yet Meet Expectations,reported_exact_tier,Colorado publishes exact CMAS performance-level percentages for statewide Grade 3 ELA.,https://resources.finalsite.net/files/t_file_download/v1776115348/cdestatecous/rrkmbmijrknlrhuvzk4e/2025CMASMathELACSLADistrictandSchoolSummaryAchievementResults.xlsx,https://ed.cde.state.co.us/assessment/cmas-dataandresults-2025
CO,Colorado,CMAS,ELA,English Language Arts,03,2024-2025,2025,2,partially_met_expectations,Partially Met Expectations,15.7,False,Did Not Yet Meet Expectations,reported_exact_tier,Colorado publishes exact CMAS performance-level percentages for statewide Grade 3 ELA.,https://resources.finalsite.net/files/t_file_download/v1776115348/cdestatecous/rrkmbmijrknlrhuvzk4e/2025CMASMathELACSLADistrictandSchoolSummaryAchievementResults.xlsx,https://ed.cde.state.co.us/assessment/cmas-dataandresults-2025
CO,Colorado,CMAS,ELA,English Language Arts,03,2024-2025,2025,3,approached_expectations,Approached Expectations,19.9,False,Did Not Yet Meet Expectations,reported_exact_tier,Colorado publishes exact CMAS performance-level percentages for statewide Grade 3 ELA.,https://resources.finalsite.net/files/t_file_download/v1776115348/cdestatecous/rrkmbmijrknlrhuvzk4e/2025CMASMathELACSLADistrictandSchoolSummaryAchievementResults.xlsx,https://ed.cde.state.co.us/assessment/cmas-dataandresults-2025
CO,Colorado,CMAS,ELA,English Language Arts,03,2024-2025,2025,4,met_expectations,Met Expectations,37.7,False,Did Not Yet Meet Expectations,reported_exact_tier,Colorado publishes exact CMAS performance-level percentages for statewide Grade 3 ELA.,https://resources.finalsite.net/files/t_file_download/v1776115348/cdestatecous/rrkmbmijrknlrhuvzk4e/2025CMASMathELACSLADistrictandSchoolSummaryAchievementResults.xlsx,https://ed.cde.state.co.us/assessment/cmas-dataandresults-2025
CO,Colorado,CMAS,ELA,English Language Arts,03,2024-2025,2025,5,exceeded_expectations,Exceeded Expectations,4.3,False,Did Not Yet Meet Expectations,reported_exact_tier,Colorado publishes exact CMAS performance-level percentages for statewide Grade 3 ELA.,https://resources.finalsite.net/files/t_file_download/v1776115348/cdestatecous/rrkmbmijrknlrhuvzk4e/2025CMASMathELACSLADistrictandSchoolSummaryAchievementResults.xlsx,https://ed.cde.state.co.us/assessment/cmas-dataandresults-2025
CT,Connecticut,Smarter Balanced,ELA,English Language Arts,03,2024-2025,2025,1,level_1_not_met,Level 1 Not Met,30.7,True,Level 1 Not Met,reported_exact_tier,Connecticut EdSight's public Smarter Balanced report publishes the statewide Grade 3 ELA performance-level percentages directly for All Students.,https://edsight.ct.gov/SASStoredProcess/guest?_grade=3&_year=2024-25&_district=State+of+Connecticut&_school=&_subject=ELA&_subgroup=All+Students&_program=%2FCTDOE%2FEdSight%2FRelease%2FReporting%2FPublic%2FReports%2FStoredProcesses%2FSmarterBalancedAssessmentReport_SiteCore&_select=Submit,https://public-edsight.ct.gov/performance/smarter-balanced-achievement-participation
CT,Connecticut,Smarter Balanced,ELA,English Language Arts,03,2024-2025,2025,2,level_2_approaching,Level 2 Approaching,22.4,False,Level 1 Not Met,reported_exact_tier,Connecticut EdSight's public Smarter Balanced report publishes the statewide Grade 3 ELA performance-level percentages directly for All Students.,https://edsight.ct.gov/SASStoredProcess/guest?_grade=3&_year=2024-25&_district=State+of+Connecticut&_school=&_subject=ELA&_subgroup=All+Students&_program=%2FCTDOE%2FEdSight%2FRelease%2FReporting%2FPublic%2FReports%2FStoredProcesses%2FSmarterBalancedAssessmentReport_SiteCore&_select=Submit,https://public-edsight.ct.gov/performance/smarter-balanced-achievement-participation
CT,Connecticut,Smarter Balanced,ELA,English Language Arts,03,2024-2025,2025,3,level_3_met,Level 3 Met,20.8,False,Level 1 Not Met,reported_exact_tier,Connecticut EdSight's public Smarter Balanced report publishes the statewide Grade 3 ELA performance-level percentages directly for All Students.,https://edsight.ct.gov/SASStoredProcess/guest?_grade=3&_year=2024-25&_district=State+of+Connecticut&_school=&_subject=ELA&_subgroup=All+Students&_program=%2FCTDOE%2FEdSight%2FRelease%2FReporting%2FPublic%2FReports%2FStoredProcesses%2FSmarterBalancedAssessmentReport_SiteCore&_select=Submit,https://public-edsight.ct.gov/performance/smarter-balanced-achievement-participation
