state,state_name,assessment,subject,subject_label,grade,school_year,administration_year,tier_rank,tier_id,tier_label,pct_students,is_below_basic_analog,below_basic_analog_label,source_value_kind,notes,source_url,source_page_url
MA,Massachusetts,MCAS,ELA,English Language Arts,03,2024-2025,2025,4,exceeding_expectations,Exceeding Expectations,6.0,False,Not Meeting Expectations,reported_exact_tier,"Massachusetts School and District Profiles publishes the statewide 2025 MCAS Grade 3 ELA achievement-level split directly on the state profile page, including Exceeding, Meeting, Partially Meeting, and Not Meeting Expectations.",https://profiles.doe.mass.edu/mcas/achievement_level.aspx?linkid=32&orgcode=00000000&orgtypecode=0&,https://profiles.doe.mass.edu/mcas/achievement_level.aspx?linkid=32&orgcode=00000000&orgtypecode=0&
MD,Maryland,MCAP,ELA,English Language Arts,03,2024-2025,2025,1,pl_1,PL 1,7.3,True,PL 1,reported_exact_tier,Maryland Report Card's public 2025 MCAP English Language Arts endpoint publishes the statewide Grade 3 All Students performance-level percentages directly.,https://reportcard.msde.maryland.gov/Assessments/GetELAPerformanceBarChart,https://reportcard.msde.maryland.gov/Graphs/#/Assessments/ELAPerformance
MD,Maryland,MCAP,ELA,English Language Arts,03,2024-2025,2025,2,pl_2,PL 2,42.7,False,PL 1,reported_exact_tier,Maryland Report Card's public 2025 MCAP English Language Arts endpoint publishes the statewide Grade 3 All Students performance-level percentages directly.,https://reportcard.msde.maryland.gov/Assessments/GetELAPerformanceBarChart,https://reportcard.msde.maryland.gov/Graphs/#/Assessments/ELAPerformance
MD,Maryland,MCAP,ELA,English Language Arts,03,2024-2025,2025,3,pl_3,PL 3,44.1,False,PL 1,reported_exact_tier,Maryland Report Card's public 2025 MCAP English Language Arts endpoint publishes the statewide Grade 3 All Students performance-level percentages directly.,https://reportcard.msde.maryland.gov/Assessments/GetELAPerformanceBarChart,https://reportcard.msde.maryland.gov/Graphs/#/Assessments/ELAPerformance
MD,Maryland,MCAP,ELA,English Language Arts,03,2024-2025,2025,4,pl_4,PL 4,6.0,False,PL 1,reported_exact_tier,Maryland Report Card's public 2025 MCAP English Language Arts endpoint publishes the statewide Grade 3 All Students performance-level percentages directly.,https://reportcard.msde.maryland.gov/Assessments/GetELAPerformanceBarChart,https://reportcard.msde.maryland.gov/Graphs/#/Assessments/ELAPerformance
MS,Mississippi,MAAP,ELA,English Language Arts,03,2024-2025,2025,1,minimal,Minimal,10.7,True,Minimal,reported_exact_tier,Mississippi publishes exact statewide Grade 3 MAAP ELA performance-level percentages in the 2025 executive summary PDF.,https://mdek12.org/wp-content/uploads/sites/33/2025/08/MAAP-2025-Results-Executive-Summary.pdf,https://mdek12.org/wp-content/uploads/sites/33/2025/08/MAAP-2025-Results-Executive-Summary.pdf
MS,Mississippi,MAAP,ELA,English Language Arts,03,2024-2025,2025,2,basic,Basic,13.7,False,Minimal,reported_exact_tier,Mississippi publishes exact statewide Grade 3 MAAP ELA performance-level percentages in the 2025 executive summary PDF.,https://mdek12.org/wp-content/uploads/sites/33/2025/08/MAAP-2025-Results-Executive-Summary.pdf,https://mdek12.org/wp-content/uploads/sites/33/2025/08/MAAP-2025-Results-Executive-Summary.pdf
MS,Mississippi,MAAP,ELA,English Language Arts,03,2024-2025,2025,3,pass,Pass,26.3,False,Minimal,reported_exact_tier,Mississippi publishes exact statewide Grade 3 MAAP ELA performance-level percentages in the 2025 executive summary PDF.,https://mdek12.org/wp-content/uploads/sites/33/2025/08/MAAP-2025-Results-Executive-Summary.pdf,https://mdek12.org/wp-content/uploads/sites/33/2025/08/MAAP-2025-Results-Executive-Summary.pdf
MS,Mississippi,MAAP,ELA,English Language Arts,03,2024-2025,2025,4,proficient,Proficient,35.5,False,Minimal,reported_exact_tier,Mississippi publishes exact statewide Grade 3 MAAP ELA performance-level percentages in the 2025 executive summary PDF.,https://mdek12.org/wp-content/uploads/sites/33/2025/08/MAAP-2025-Results-Executive-Summary.pdf,https://mdek12.org/wp-content/uploads/sites/33/2025/08/MAAP-2025-Results-Executive-Summary.pdf
MS,Mississippi,MAAP,ELA,English Language Arts,03,2024-2025,2025,5,advanced,Advanced,13.9,False,Minimal,reported_exact_tier,Mississippi publishes exact statewide Grade 3 MAAP ELA performance-level percentages in the 2025 executive summary PDF.,https://mdek12.org/wp-content/uploads/sites/33/2025/08/MAAP-2025-Results-Executive-Summary.pdf,https://mdek12.org/wp-content/uploads/sites/33/2025/08/MAAP-2025-Results-Executive-Summary.pdf
NJ,New Jersey,NJSLA,ELA,English Language Arts,03,2024-2025,2025,1,level_1,Level 1,19.0,True,Level 1,reported_exact_tier,New Jersey publishes exact statewide Grade 3 NJSLA ELA performance-level percentages in the spring results workbook.,https://www.nj.gov/education/assessment/results/reports/2425/spring/ELA03%20NJSLA%20DATA%202024-25.xlsx,https://www.nj.gov/education/assessment/results/reports/2425/index.shtml
NJ,New Jersey,NJSLA,ELA,English Language Arts,03,2024-2025,2025,2,level_2,Level 2,16.0,False,Level 1,reported_exact_tier,New Jersey publishes exact statewide Grade 3 NJSLA ELA performance-level percentages in the spring results workbook.,https://www.nj.gov/education/assessment/results/reports/2425/spring/ELA03%20NJSLA%20DATA%202024-25.xlsx,https://www.nj.gov/education/assessment/results/reports/2425/index.shtml
NJ,New Jersey,NJSLA,ELA,English Language Arts,03,2024-2025,2025,3,level_3,Level 3,20.1,False,Level 1,reported_exact_tier,New Jersey publishes exact statewide Grade 3 NJSLA ELA performance-level percentages in the spring results workbook.,https://www.nj.gov/education/assessment/results/reports/2425/spring/ELA03%20NJSLA%20DATA%202024-25.xlsx,https://www.nj.gov/education/assessment/results/reports/2425/index.shtml
